Benchmark                                                 (batchSize)  (pattern)  Mode  Cnt       Score        Error      Units
DvReboundBench.v1_full:branch-misses                             5000   DENSE_50  avgt    3    1084.025 ±   3480.509       #/op
DvReboundBench.v1_full:branches                                  5000   DENSE_50  avgt    3  134897.994 ±   6046.862       #/op
DvReboundBench.v1_full:cycles                                    5000   DENSE_50  avgt    3  164496.906 ±  99525.776       #/op
DvReboundBench.v1_full:dTLB-load-misses                          5000   DENSE_50  avgt    3       0.455 ±      1.192       #/op
DvReboundBench.v1_full:dTLB-loads                                5000   DENSE_50  avgt    3       2.024 ±      5.074       #/op
DvReboundBench.v1_full:iTLB-load-misses                          5000   DENSE_50  avgt    3       0.381 ±      1.904       #/op
DvReboundBench.v1_full:iTLB-loads                                5000   DENSE_50  avgt    3       0.722 ±      3.355       #/op
DvReboundBench.v1_full:instructions                              5000   DENSE_50  avgt    3  604490.506 ±  24208.550       #/op
DvReboundBench.v1_full:stalled-cycles-frontend                   5000   DENSE_50  avgt    3    4268.101 ±   9752.182       #/op
DvReboundBench.v2_noStore                                        5000    DENSE_8  avgt   24      32.349 ±      9.287      us/op
DvReboundBench.v2_noStore:CPI                                    5000    DENSE_8  avgt    3       0.227 ±      0.255  clks/insn
DvReboundBench.v2_noStore:IPC                                    5000    DENSE_8  avgt    3       4.415 ±      4.800  insns/clk
DvReboundBench.v2_noStore:L1-dcache-load-misses                  5000    DENSE_8  avgt    3       8.774 ±     70.167       #/op
DvReboundBench.v2_noStore:L1-dcache-loads                        5000    DENSE_8  avgt    3  126602.351 ±  15503.012       #/op
DvReboundBench.v2_noStore:L1-icache-load-misses                  5000    DENSE_8  avgt    3       0.415 ±      0.822       #/op
DvReboundBench.v2_noStore:L1-icache-loads                        5000    DENSE_8  avgt    3      76.669 ±    203.834       #/op
DvReboundBench.v2_noStore:branch-misses                          5000    DENSE_8  avgt    3     401.160 ±    150.305       #/op
DvReboundBench.v2_noStore:branches                               5000    DENSE_8  avgt    3  129634.685 ±   4515.695       #/op
DvReboundBench.v2_noStore:cycles                                 5000    DENSE_8  avgt    3  126329.637 ± 125720.663       #/op
DvReboundBench.v2_noStore:dTLB-load-misses                       5000    DENSE_8  avgt    3       0.358 ±      3.832       #/op
DvReboundBench.v2_noStore:dTLB-loads                             5000    DENSE_8  avgt    3       1.402 ±      6.970       #/op
DvReboundBench.v2_noStore:iTLB-load-misses                       5000    DENSE_8  avgt    3       0.351 ±      3.492       #/op
DvReboundBench.v2_noStore:iTLB-loads                             5000    DENSE_8  avgt    3       0.576 ±      3.141       #/op
DvReboundBench.v2_noStore:instructions                           5000    DENSE_8  avgt    3  556510.338 ±  69071.012       #/op
DvReboundBench.v2_noStore:stalled-cycles-frontend                5000    DENSE_8  avgt    3    1844.544 ±  15226.924       #/op
DvReboundBench.v2_noStore                                        5000   DENSE_50  avgt   24      24.430 ±      0.352      us/op
DvReboundBench.v2_noStore:CPI                                    5000   DENSE_50  avgt    3       0.188 ±      0.033  clks/insn
DvReboundBench.v2_noStore:IPC                                    5000   DENSE_50  avgt    3       5.324 ±      0.944  insns/clk
DvReboundBench.v2_noStore:L1-dcache-load-misses                  5000   DENSE_50  avgt    3       5.480 ±     18.153       #/op
DvReboundBench.v2_noStore:L1-dcache-loads                        5000   DENSE_50  avgt    3  123204.433 ±  57832.887       #/op
DvReboundBench.v2_noStore:L1-icache-load-misses                  5000   DENSE_50  avgt    3       0.316 ±      0.807       #/op
DvReboundBench.v2_noStore:L1-icache-loads                        5000   DENSE_50  avgt    3      57.835 ±    104.871       #/op
DvReboundBench.v2_noStore:branch-misses                          5000   DENSE_50  avgt    3       4.118 ±      5.553       #/op
DvReboundBench.v2_noStore:branches                               5000   DENSE_50  avgt    3  124592.986 ±   6877.769       #/op
DvReboundBench.v2_noStore:cycles                                 5000   DENSE_50  avgt    3  108099.233 ±  14406.095       #/op
DvReboundBench.v2_noStore:dTLB-load-misses                       5000   DENSE_50  avgt    3       0.193 ±      0.379       #/op
DvReboundBench.v2_noStore:dTLB-loads                             5000   DENSE_50  avgt    3       1.054 ±      3.271       #/op
DvReboundBench.v2_noStore:iTLB-load-misses                       5000   DENSE_50  avgt    3       0.223 ±      0.544       #/op
DvReboundBench.v2_noStore:iTLB-loads                             5000   DENSE_50  avgt    3       0.433 ±      0.888       #/op
DvReboundBench.v2_noStore:instructions                           5000   DENSE_50  avgt    3  575502.872 ± 112749.244       #/op
DvReboundBench.v2_noStore:stalled-cycles-frontend                5000   DENSE_50  avgt    3     283.509 ±    567.699       #/op
DvReboundBench.v3_fixedAddrStore                                 5000    DENSE_8  avgt   24      26.466 ±      0.570      us/op
DvReboundBench.v3_fixedAddrStore:CPI                             5000    DENSE_8  avgt    3       0.218 ±      0.051  clks/insn
DvReboundBench.v3_fixedAddrStore:IPC                             5000    DENSE_8  avgt    3       4.584 ±      1.068  insns/clk
DvReboundBench.v3_fixedAddrStore:L1-dcache-load-misses           5000    DENSE_8  avgt    3      67.382 ±    107.663       #/op
DvReboundBench.v3_fixedAddrStore:L1-dcache-loads                 5000    DENSE_8  avgt    3  144216.989 ±   8416.417       #/op
DvReboundBench.v3_fixedAddrStore:L1-icache-load-misses           5000    DENSE_8  avgt    3       0.351 ±      0.913       #/op
DvReboundBench.v3_fixedAddrStore:L1-icache-loads                 5000    DENSE_8  avgt    3      76.040 ±    508.499       #/op
DvReboundBench.v3_fixedAddrStore:branch-misses                   5000    DENSE_8  avgt    3     409.896 ±    130.240       #/op
DvReboundBench.v3_fixedAddrStore:branches                        5000    DENSE_8  avgt    3  130323.549 ±   3297.385       #/op
DvReboundBench.v3_fixedAddrStore:cycles                          5000    DENSE_8  avgt    3  116918.841 ±  17634.273       #/op
DvReboundBench.v3_fixedAddrStore:dTLB-load-misses                5000    DENSE_8  avgt    3       0.297 ±      0.407       #/op
DvReboundBench.v3_fixedAddrStore:dTLB-loads                      5000    DENSE_8  avgt    3       1.342 ±      1.977       #/op
DvReboundBench.v3_fixedAddrStore:iTLB-load-misses                5000    DENSE_8  avgt    3       0.302 ±      0.325       #/op
DvReboundBench.v3_fixedAddrStore:iTLB-loads                      5000    DENSE_8  avgt    3       0.512 ±      0.900       #/op
DvReboundBench.v3_fixedAddrStore:instructions                    5000    DENSE_8  avgt    3  535888.476 ±  51108.431       #/op
DvReboundBench.v3_fixedAddrStore:stalled-cycles-frontend         5000    DENSE_8  avgt    3    1979.460 ±   6515.325       #/op
DvReboundBench.v3_fixedAddrStore                                 5000   DENSE_50  avgt   24      29.757 ±      3.015      us/op
DvReboundBench.v3_fixedAddrStore:CPI                             5000   DENSE_50  avgt    3       0.241 ±      0.683  clks/insn
DvReboundBench.v3_fixedAddrStore:IPC                             5000   DENSE_50  avgt    3       4.208 ±     10.945  insns/clk
DvReboundBench.v3_fixedAddrStore:L1-dcache-load-misses           5000   DENSE_50  avgt    3      65.351 ±     70.722       #/op
DvReboundBench.v3_fixedAddrStore:L1-dcache-loads                 5000   DENSE_50  avgt    3  145906.278 ±  22265.852       #/op
DvReboundBench.v3_fixedAddrStore:L1-icache-load-misses           5000   DENSE_50  avgt    3       0.296 ±      0.888       #/op
DvReboundBench.v3_fixedAddrStore:L1-icache-loads                 5000   DENSE_50  avgt    3      66.490 ±    112.916       #/op
DvReboundBench.v3_fixedAddrStore:branch-misses                   5000   DENSE_50  avgt    3     751.180 ±   6755.153       #/op
DvReboundBench.v3_fixedAddrStore:branches                        5000   DENSE_50  avgt    3  132494.434 ±   3849.778       #/op
DvReboundBench.v3_fixedAddrStore:cycles                          5000   DENSE_50  avgt    3  131853.109 ± 372343.038       #/op
DvReboundBench.v3_fixedAddrStore:dTLB-load-misses                5000   DENSE_50  avgt    3       0.258 ±      0.591       #/op
DvReboundBench.v3_fixedAddrStore:dTLB-loads                      5000   DENSE_50  avgt    3       1.121 ±      2.693       #/op
DvReboundBench.v3_fixedAddrStore:iTLB-load-misses                5000   DENSE_50  avgt    3       0.309 ±      1.640       #/op
DvReboundBench.v3_fixedAddrStore:iTLB-loads                      5000   DENSE_50  avgt    3       0.485 ±      1.290       #/op
DvReboundBench.v3_fixedAddrStore:instructions                    5000   DENSE_50  avgt    3  546656.232 ±   3670.319       #/op
DvReboundBench.v3_fixedAddrStore:stalled-cycles-frontend         5000   DENSE_50  avgt    3    2443.289 ±  27112.870       #/op
DvReboundBench.v4_branchless                                     5000    DENSE_8  avgt   24      28.024 ±      0.392      us/op
DvReboundBench.v4_branchless:CPI                                 5000    DENSE_8  avgt    3       0.206 ±      0.030  clks/insn
DvReboundBench.v4_branchless:IPC                                 5000    DENSE_8  avgt    3       4.849 ±      0.698  insns/clk
DvReboundBench.v4_branchless:L1-dcache-load-misses               5000    DENSE_8  avgt    3      49.748 ±     91.879       #/op
DvReboundBench.v4_branchless:L1-dcache-loads                     5000    DENSE_8  avgt    3  138402.160 ±  11729.239       #/op
DvReboundBench.v4_branchless:L1-icache-load-misses               5000    DENSE_8  avgt    3       0.363 ±      1.738       #/op
DvReboundBench.v4_branchless:L1-icache-loads                     5000    DENSE_8  avgt    3      71.272 ±    192.693       #/op
DvReboundBench.v4_branchless:branch-misses                       5000    DENSE_8  avgt    3     403.970 ±     36.452       #/op
DvReboundBench.v4_branchless:branches                            5000    DENSE_8  avgt    3  135354.227 ±   4167.884       #/op
DvReboundBench.v4_branchless:cycles                              5000    DENSE_8  avgt    3  124529.524 ±  33818.307       #/op
DvReboundBench.v4_branchless:dTLB-load-misses                    5000    DENSE_8  avgt    3       0.250 ±      1.105       #/op
DvReboundBench.v4_branchless:dTLB-loads                          5000    DENSE_8  avgt    3       1.368 ±      4.877       #/op
DvReboundBench.v4_branchless:iTLB-load-misses                    5000    DENSE_8  avgt    3       0.230 ±      0.966       #/op
DvReboundBench.v4_branchless:iTLB-loads                          5000    DENSE_8  avgt    3       0.579 ±      0.875       #/op
DvReboundBench.v4_branchless:instructions                        5000    DENSE_8  avgt    3  603742.498 ±  81415.177       #/op
DvReboundBench.v4_branchless:stalled-cycles-frontend             5000    DENSE_8  avgt    3    1568.988 ±   1770.653       #/op
DvReboundBench.v4_branchless                                     5000   DENSE_50  avgt   24      27.903 ±      1.005      us/op
DvReboundBench.v4_branchless:CPI                                 5000   DENSE_50  avgt    3       0.201 ±      0.160  clks/insn
DvReboundBench.v4_branchless:IPC                                 5000   DENSE_50  avgt    3       4.970 ±      3.852  insns/clk
DvReboundBench.v4_branchless:L1-dcache-load-misses               5000   DENSE_50  avgt    3      13.962 ±     54.747       #/op
DvReboundBench.v4_branchless:L1-dcache-loads                     5000   DENSE_50  avgt    3  125427.418 ±    706.187       #/op
DvReboundBench.v4_branchless:L1-icache-load-misses               5000   DENSE_50  avgt    3       0.286 ±      1.114       #/op
DvReboundBench.v4_branchless:L1-icache-loads                     5000   DENSE_50  avgt    3      56.707 ±     57.015       #/op
DvReboundBench.v4_branchless:branch-misses                       5000   DENSE_50  avgt    3       3.823 ±     13.123       #/op
DvReboundBench.v4_branchless:branches                            5000   DENSE_50  avgt    3  130153.853 ±   5649.343       #/op
DvReboundBench.v4_branchless:cycles                              5000   DENSE_50  avgt    3  124176.129 ± 125708.679       #/op
DvReboundBench.v4_branchless:dTLB-load-misses                    5000   DENSE_50  avgt    3       0.311 ±      0.788       #/op
DvReboundBench.v4_branchless:dTLB-loads                          5000   DENSE_50  avgt    3       1.265 ±      3.656       #/op
DvReboundBench.v4_branchless:iTLB-load-misses                    5000   DENSE_50  avgt    3       0.327 ±      0.127       #/op
DvReboundBench.v4_branchless:iTLB-loads                          5000   DENSE_50  avgt    3       0.606 ±      0.327       #/op
DvReboundBench.v4_branchless:instructions                        5000   DENSE_50  avgt    3  616206.958 ± 248224.350       #/op
DvReboundBench.v4_branchless:stalled-cycles-frontend             5000   DENSE_50  avgt    3     359.296 ±    814.644       #/op
DvReboundBench.v5_lookupOnly                                     5000    DENSE_8  avgt   24      27.060 ±      0.439      us/op
DvReboundBench.v5_lookupOnly:CPI                                 5000    DENSE_8  avgt    3       0.216 ±      0.037  clks/insn
DvReboundBench.v5_lookupOnly:IPC                                 5000    DENSE_8  avgt    3       4.623 ±      0.793  insns/clk
DvReboundBench.v5_lookupOnly:L1-dcache-load-misses               5000    DENSE_8  avgt    3       5.276 ±      3.736       #/op
DvReboundBench.v5_lookupOnly:L1-dcache-loads                     5000    DENSE_8  avgt    3  127430.031 ±   3536.690       #/op
DvReboundBench.v5_lookupOnly:L1-icache-load-misses               5000    DENSE_8  avgt    3       0.369 ±      0.629       #/op
DvReboundBench.v5_lookupOnly:L1-icache-loads                     5000    DENSE_8  avgt    3      63.543 ±    112.167       #/op
DvReboundBench.v5_lookupOnly:branch-misses                       5000    DENSE_8  avgt    3     409.875 ±    103.448       #/op
DvReboundBench.v5_lookupOnly:branches                            5000    DENSE_8  avgt    3  130602.082 ±   4602.319       #/op
DvReboundBench.v5_lookupOnly:cycles                              5000    DENSE_8  avgt    3  120279.497 ±  22174.315       #/op
DvReboundBench.v5_lookupOnly:dTLB-load-misses                    5000    DENSE_8  avgt    3       0.268 ±      1.684       #/op
DvReboundBench.v5_lookupOnly:dTLB-loads                          5000    DENSE_8  avgt    3       1.128 ±      3.876       #/op
DvReboundBench.v5_lookupOnly:iTLB-load-misses                    5000    DENSE_8  avgt    3       0.223 ±      1.364       #/op
DvReboundBench.v5_lookupOnly:iTLB-loads                          5000    DENSE_8  avgt    3       0.518 ±      1.968       #/op
DvReboundBench.v5_lookupOnly:instructions                        5000    DENSE_8  avgt    3  555959.732 ±   8988.613       #/op
DvReboundBench.v5_lookupOnly:stalled-cycles-frontend             5000    DENSE_8  avgt    3    1637.591 ±   1896.994       #/op
DvReboundBench.v5_lookupOnly                                     5000   DENSE_50  avgt   24      21.779 ±      0.162      us/op
DvReboundBench.v5_lookupOnly:CPI                                 5000   DENSE_50  avgt    3       0.179 ±      0.035  clks/insn
DvReboundBench.v5_lookupOnly:IPC                                 5000   DENSE_50  avgt    3       5.595 ±      1.107  insns/clk
DvReboundBench.v5_lookupOnly:L1-dcache-load-misses               5000   DENSE_50  avgt    3       3.616 ±      4.822       #/op
DvReboundBench.v5_lookupOnly:L1-dcache-loads                     5000   DENSE_50  avgt    3  113725.318 ±  51156.312       #/op
DvReboundBench.v5_lookupOnly:L1-icache-load-misses               5000   DENSE_50  avgt    3       0.257 ±      0.372       #/op
DvReboundBench.v5_lookupOnly:L1-icache-loads                     5000   DENSE_50  avgt    3      44.243 ±     14.181       #/op
DvReboundBench.v5_lookupOnly:branch-misses                       5000   DENSE_50  avgt    3       3.262 ±      7.044       #/op
DvReboundBench.v5_lookupOnly:branches                            5000   DENSE_50  avgt    3  125103.207 ±   6036.053       #/op
DvReboundBench.v5_lookupOnly:cycles                              5000   DENSE_50  avgt    3   96753.708 ±  13322.557       #/op
DvReboundBench.v5_lookupOnly:dTLB-load-misses                    5000   DENSE_50  avgt    3       0.216 ±      0.771       #/op
DvReboundBench.v5_lookupOnly:dTLB-loads                          5000   DENSE_50  avgt    3       0.951 ±      2.100       #/op
DvReboundBench.v5_lookupOnly:iTLB-load-misses                    5000   DENSE_50  avgt    3       0.211 ±      0.331       #/op
DvReboundBench.v5_lookupOnly:iTLB-loads                          5000   DENSE_50  avgt    3       0.438 ±      1.367       #/op
DvReboundBench.v5_lookupOnly:instructions                        5000   DENSE_50  avgt    3  541340.083 ±  44995.893       #/op
DvReboundBench.v5_lookupOnly:stalled-cycles-frontend             5000   DENSE_50  avgt    3     282.614 ±    919.268       #/op
DvReboundBench.v6_withCounter                                    5000    DENSE_8  avgt   24      27.192 ±      0.239      us/op
DvReboundBench.v6_withCounter:CPI                                5000    DENSE_8  avgt    3       0.215 ±      0.027  clks/insn
DvReboundBench.v6_withCounter:IPC                                5000    DENSE_8  avgt    3       4.654 ±      0.583  insns/clk
DvReboundBench.v6_withCounter:L1-dcache-load-misses              5000    DENSE_8  avgt    3      51.420 ±     58.079       #/op
DvReboundBench.v6_withCounter:L1-dcache-loads                    5000    DENSE_8  avgt    3  150186.588 ±   1773.018       #/op
DvReboundBench.v6_withCounter:L1-icache-load-misses              5000    DENSE_8  avgt    3       0.317 ±      1.065       #/op
DvReboundBench.v6_withCounter:L1-icache-loads                    5000    DENSE_8  avgt    3      59.223 ±    179.235       #/op
DvReboundBench.v6_withCounter:branch-misses                      5000    DENSE_8  avgt    3     402.894 ±     13.219       #/op
DvReboundBench.v6_withCounter:branches                           5000    DENSE_8  avgt    3  134969.453 ±   4072.090       #/op
DvReboundBench.v6_withCounter:cycles                             5000    DENSE_8  avgt    3  121016.967 ±  27130.986       #/op
DvReboundBench.v6_withCounter:dTLB-load-misses                   5000    DENSE_8  avgt    3       0.273 ±      0.942       #/op
DvReboundBench.v6_withCounter:dTLB-loads                         5000    DENSE_8  avgt    3       1.453 ±      2.228       #/op
DvReboundBench.v6_withCounter:iTLB-load-misses                   5000    DENSE_8  avgt    3       0.261 ±      0.866       #/op
DvReboundBench.v6_withCounter:iTLB-loads                         5000    DENSE_8  avgt    3       0.536 ±      0.462       #/op
DvReboundBench.v6_withCounter:instructions                       5000    DENSE_8  avgt    3  563174.456 ±  57566.971       #/op
DvReboundBench.v6_withCounter:stalled-cycles-frontend            5000    DENSE_8  avgt    3    1215.389 ±    478.391       #/op
DvReboundBench.v6_withCounter                                    5000   DENSE_50  avgt   24      35.315 ±      1.626      us/op
DvReboundBench.v6_withCounter:CPI                                5000   DENSE_50  avgt    3       0.277 ±      0.355  clks/insn
DvReboundBench.v6_withCounter:IPC                                5000   DENSE_50  avgt    3       3.619 ±      4.482  insns/clk
DvReboundBench.v6_withCounter:L1-dcache-load-misses              5000   DENSE_50  avgt    3      16.255 ±     36.664       #/op
DvReboundBench.v6_withCounter:L1-dcache-loads                    5000   DENSE_50  avgt    3  167877.992 ±  53646.294       #/op
DvReboundBench.v6_withCounter:L1-icache-load-misses              5000   DENSE_50  avgt    3       0.457 ±      2.357       #/op
DvReboundBench.v6_withCounter:L1-icache-loads                    5000   DENSE_50  avgt    3      80.918 ±    294.343       #/op
DvReboundBench.v6_withCounter:branch-misses                      5000   DENSE_50  avgt    3    1199.250 ±   3505.009       #/op
DvReboundBench.v6_withCounter:branches                           5000   DENSE_50  avgt    3  135041.713 ±   1406.585       #/op
DvReboundBench.v6_withCounter:cycles                             5000   DENSE_50  avgt    3  157424.240 ± 202048.388       #/op
DvReboundBench.v6_withCounter:dTLB-load-misses                   5000   DENSE_50  avgt    3       0.320 ±      1.814       #/op
DvReboundBench.v6_withCounter:dTLB-loads                         5000   DENSE_50  avgt    3       1.661 ±      7.423       #/op
DvReboundBench.v6_withCounter:iTLB-load-misses                   5000   DENSE_50  avgt    3       0.302 ±      1.139       #/op
DvReboundBench.v6_withCounter:iTLB-loads                         5000   DENSE_50  avgt    3       0.669 ±      2.861       #/op
DvReboundBench.v6_withCounter:instructions                       5000   DENSE_50  avgt    3  567913.757 ±   4296.909       #/op
DvReboundBench.v6_withCounter:stalled-cycles-frontend            5000   DENSE_50  avgt    3    3084.833 ±   7662.871       #/op

