Benchmark                                                 (batchSize)  (pattern)  Mode  Cnt       Score        Error      Units
DvReboundBench.v1_full                                           5000    DENSE_8  avgt   24      28.880 ±      0.923      us/op
DvReboundBench.v1_full:CPI                                       5000    DENSE_8  avgt    3       0.217 ±      0.130  clks/insn
DvReboundBench.v1_full:IPC                                       5000    DENSE_8  avgt    3       4.620 ±      2.813  insns/clk
DvReboundBench.v1_full:L1-dcache-load-misses                     5000    DENSE_8  avgt    3      61.849 ±    220.080       #/op
DvReboundBench.v1_full:L1-dcache-loads                           5000    DENSE_8  avgt    3  137227.510 ±   6873.622       #/op
DvReboundBench.v1_full:L1-icache-load-misses                     5000    DENSE_8  avgt    3       0.357 ±      0.394       #/op
DvReboundBench.v1_full:L1-icache-loads                           5000    DENSE_8  avgt    3      92.009 ±    168.690       #/op
DvReboundBench.v1_full:branch-misses                             5000    DENSE_8  avgt    3     403.527 ±     37.557       #/op
DvReboundBench.v1_full:branches                                  5000    DENSE_8  avgt    3  134560.966 ±   4792.585       #/op
DvReboundBench.v1_full:cycles                                    5000    DENSE_8  avgt    3  127311.915 ±  77868.089       #/op
DvReboundBench.v1_full:dTLB-load-misses                          5000    DENSE_8  avgt    3       0.307 ±      0.719       #/op
DvReboundBench.v1_full:dTLB-loads                                5000    DENSE_8  avgt    3       1.729 ±      4.572       #/op
DvReboundBench.v1_full:iTLB-load-misses                          5000    DENSE_8  avgt    3       0.271 ±      0.053       #/op
DvReboundBench.v1_full:iTLB-loads                                5000    DENSE_8  avgt    3       0.514 ±      1.155       #/op
DvReboundBench.v1_full:instructions                              5000    DENSE_8  avgt    3  587776.970 ±  20974.361       #/op
DvReboundBench.v1_full:stalled-cycles-frontend                   5000    DENSE_8  avgt    3    1797.045 ±   3895.869       #/op
DvReboundBench.v1_full                                           5000   DENSE_50  avgt   24      37.296 ±      1.147      us/op
DvReboundBench.v1_full:CPI                                       5000   DENSE_50  avgt    3       0.272 ±      0.172  clks/insn
DvReboundBench.v1_full:IPC                                       5000   DENSE_50  avgt    3       3.678 ±      2.353  insns/clk
DvReboundBench.v1_full:L1-dcache-load-misses                     5000   DENSE_50  avgt    3      28.435 ±     26.794       #/op
DvReboundBench.v1_full:L1-dcache-loads                           5000   DENSE_50  avgt    3  144896.233 ±  47566.553       #/op
DvReboundBench.v1_full:L1-icache-load-misses                     5000   DENSE_50  avgt    3       0.491 ±      0.562       #/op
DvReboundBench.v1_full:L1-icache-loads                           5000   DENSE_50  avgt    3      96.083 ±    193.975       #/op
