Benchmark                                       (batchSize)  (pattern)  Mode  Cnt       Score       Error      Units
DvAddrBench.b_brRow:IPC                                5000    DENSE_8  avgt   10       4.687 ±     0.065  insns/clk
DvAddrBench.b_brRow:L1-dcache-load-misses              5000    DENSE_8  avgt   10      82.054 ±     5.396       #/op
DvAddrBench.b_brRow:L1-dcache-loads                    5000    DENSE_8  avgt   10  147971.932 ±  7652.920       #/op
DvAddrBench.b_brRow:L1-icache-load-misses              5000    DENSE_8  avgt   10       0.486 ±     0.077       #/op
DvAddrBench.b_brRow:L1-icache-loads                    5000    DENSE_8  avgt   10      96.363 ±    28.031       #/op
DvAddrBench.b_brRow:branch-misses                      5000    DENSE_8  avgt   10     418.450 ±    20.651       #/op
DvAddrBench.b_brRow:branches                           5000    DENSE_8  avgt   10  133910.668 ±  6761.069       #/op
DvAddrBench.b_brRow:cycles                             5000    DENSE_8  avgt   10  117572.977 ±  5963.181       #/op
DvAddrBench.b_brRow:dTLB-load-misses                   5000    DENSE_8  avgt   10       0.340 ±     0.082       #/op
DvAddrBench.b_brRow:dTLB-loads                         5000    DENSE_8  avgt   10       1.867 ±     0.443       #/op
DvAddrBench.b_brRow:iTLB-load-misses                   5000    DENSE_8  avgt   10       0.377 ±     0.044       #/op
DvAddrBench.b_brRow:iTLB-loads                         5000    DENSE_8  avgt   10       0.651 ±     0.101       #/op
DvAddrBench.b_brRow:instructions                       5000    DENSE_8  avgt   10  551106.733 ± 28173.922       #/op
DvAddrBench.b_brRow:stalled-cycles-frontend            5000    DENSE_8  avgt   10    1660.241 ±   271.192       #/op
DvAddrBench.b_brRow                                    5000   DENSE_50  avgt   80      26.039 ±     1.366      us/op
DvAddrBench.b_brRow:CPI                                5000   DENSE_50  avgt   10       0.216 ±     0.046  clks/insn
DvAddrBench.b_brRow:IPC                                5000   DENSE_50  avgt   10       4.711 ±     0.878  insns/clk
DvAddrBench.b_brRow:L1-dcache-load-misses              5000   DENSE_50  avgt   10      86.032 ±    14.427       #/op
DvAddrBench.b_brRow:L1-dcache-loads                    5000   DENSE_50  avgt   10  144785.284 ± 10889.399       #/op
DvAddrBench.b_brRow:L1-icache-load-misses              5000   DENSE_50  avgt   10       0.535 ±     0.251       #/op
DvAddrBench.b_brRow:L1-icache-loads                    5000   DENSE_50  avgt   10      76.308 ±    21.275       #/op
DvAddrBench.b_brRow:branch-misses                      5000   DENSE_50  avgt   10     444.656 ±   515.375       #/op
DvAddrBench.b_brRow:branches                           5000   DENSE_50  avgt   10  138168.195 ±  7223.284       #/op
DvAddrBench.b_brRow:cycles                             5000   DENSE_50  avgt   10  122868.204 ± 27574.489       #/op
DvAddrBench.b_brRow:dTLB-load-misses                   5000   DENSE_50  avgt   10       0.368 ±     0.095       #/op
DvAddrBench.b_brRow:dTLB-loads                         5000   DENSE_50  avgt   10       2.109 ±     0.530       #/op
DvAddrBench.b_brRow:iTLB-load-misses                   5000   DENSE_50  avgt   10       0.401 ±     0.176       #/op
DvAddrBench.b_brRow:iTLB-loads                         5000   DENSE_50  avgt   10       0.717 ±     0.196       #/op
DvAddrBench.b_brRow:instructions                       5000   DENSE_50  avgt   10  569877.982 ± 29769.604       #/op
DvAddrBench.b_brRow:stalled-cycles-frontend            5000   DENSE_50  avgt   10    1778.695 ±  1881.169       #/op
DvAddrBench.c_noBrLive                                 5000    DENSE_8  avgt   80      32.815 ±     4.395      us/op
DvAddrBench.c_noBrLive:CPI                             5000    DENSE_8  avgt   10       0.233 ±     0.074  clks/insn
DvAddrBench.c_noBrLive:IPC                             5000    DENSE_8  avgt   10       4.427 ±     1.021  insns/clk
DvAddrBench.c_noBrLive:L1-dcache-load-misses           5000    DENSE_8  avgt   10     643.670 ±  2779.843       #/op
DvAddrBench.c_noBrLive:L1-dcache-loads                 5000    DENSE_8  avgt   10  142098.332 ±  7349.928       #/op
DvAddrBench.c_noBrLive:L1-icache-load-misses           5000    DENSE_8  avgt   10       0.593 ±     0.268       #/op
DvAddrBench.c_noBrLive:L1-icache-loads                 5000    DENSE_8  avgt   10     101.263 ±    66.654       #/op
DvAddrBench.c_noBrLive:branch-misses                   5000    DENSE_8  avgt   10     420.115 ±    24.992       #/op
DvAddrBench.c_noBrLive:branches                        5000    DENSE_8  avgt   10  139101.777 ±  7473.620       #/op
DvAddrBench.c_noBrLive:cycles                          5000    DENSE_8  avgt   10  145101.729 ± 52180.218       #/op
DvAddrBench.c_noBrLive:dTLB-load-misses                5000    DENSE_8  avgt   10       0.514 ±     0.539       #/op
DvAddrBench.c_noBrLive:dTLB-loads                      5000    DENSE_8  avgt   10       2.726 ±     2.670       #/op
DvAddrBench.c_noBrLive:iTLB-load-misses                5000    DENSE_8  avgt   10       0.513 ±     0.300       #/op
DvAddrBench.c_noBrLive:iTLB-loads                      5000    DENSE_8  avgt   10       0.881 ±     0.341       #/op
DvAddrBench.c_noBrLive:instructions                    5000    DENSE_8  avgt   10  621567.529 ± 33824.203       #/op
DvAddrBench.c_noBrLive:stalled-cycles-frontend         5000    DENSE_8  avgt   10    2563.394 ±  2709.646       #/op
DvAddrBench.c_noBrLive                                 5000   DENSE_50  avgt   80      26.649 ±     0.636      us/op
DvAddrBench.c_noBrLive:CPI                             5000   DENSE_50  avgt   10       0.197 ±     0.013  clks/insn
DvAddrBench.c_noBrLive:IPC                             5000   DENSE_50  avgt   10       5.082 ±     0.334  insns/clk
DvAddrBench.c_noBrLive:L1-dcache-load-misses           5000   DENSE_50  avgt   10      26.246 ±    26.959       #/op
DvAddrBench.c_noBrLive:L1-dcache-loads                 5000   DENSE_50  avgt   10  130564.495 ±  7051.296       #/op
DvAddrBench.c_noBrLive:L1-icache-load-misses           5000   DENSE_50  avgt   10       0.506 ±     0.074       #/op
DvAddrBench.c_noBrLive:L1-icache-loads                 5000   DENSE_50  avgt   10      83.242 ±    17.892       #/op
DvAddrBench.c_noBrLive:branch-misses                   5000   DENSE_50  avgt   10       4.856 ±     0.502       #/op
DvAddrBench.c_noBrLive:branches                        5000   DENSE_50  avgt   10  135490.492 ±  7282.778       #/op
DvAddrBench.c_noBrLive:cycles                          5000   DENSE_50  avgt   10  126367.866 ± 13434.868       #/op
DvAddrBench.c_noBrLive:dTLB-load-misses                5000   DENSE_50  avgt   10       0.383 ±     0.065       #/op
DvAddrBench.c_noBrLive:dTLB-loads                      5000   DENSE_50  avgt   10       1.947 ±     0.348       #/op
DvAddrBench.c_noBrLive:iTLB-load-misses                5000   DENSE_50  avgt   10       0.419 ±     0.112       #/op
DvAddrBench.c_noBrLive:iTLB-loads                      5000   DENSE_50  avgt   10       0.726 ±     0.124       #/op
DvAddrBench.c_noBrLive:instructions                    5000   DENSE_50  avgt   10  640589.277 ± 34625.720       #/op
DvAddrBench.c_noBrLive:stalled-cycles-frontend         5000   DENSE_50  avgt   10     394.029 ±   174.934       #/op
DvAddrBench.d_noBrRow                                  5000    DENSE_8  avgt   80      27.824 ±     2.888      us/op
DvAddrBench.d_noBrRow:CPI                              5000    DENSE_8  avgt   10       0.229 ±     0.021  clks/insn
DvAddrBench.d_noBrRow:IPC                              5000    DENSE_8  avgt   10       4.375 ±     0.364  insns/clk
DvAddrBench.d_noBrRow:L1-dcache-load-misses            5000    DENSE_8  avgt   10     101.378 ±    42.748       #/op
DvAddrBench.d_noBrRow:L1-dcache-loads                  5000    DENSE_8  avgt   10  150289.696 ±  9052.265       #/op
DvAddrBench.d_noBrRow:L1-icache-load-misses            5000    DENSE_8  avgt   10       0.536 ±     0.161       #/op
DvAddrBench.d_noBrRow:L1-icache-loads                  5000    DENSE_8  avgt   10      93.771 ±    32.958       #/op
DvAddrBench.d_noBrRow:branch-misses                    5000    DENSE_8  avgt   10     423.434 ±    26.874       #/op
DvAddrBench.d_noBrRow:branches                         5000    DENSE_8  avgt   10  135521.374 ±  8399.168       #/op
DvAddrBench.d_noBrRow:cycles                           5000    DENSE_8  avgt   10  127553.811 ± 17179.854       #/op
DvAddrBench.d_noBrRow:dTLB-load-misses                 5000    DENSE_8  avgt   10       0.506 ±     0.596       #/op
DvAddrBench.d_noBrRow:dTLB-loads                       5000    DENSE_8  avgt   10       2.440 ±     1.804       #/op
DvAddrBench.d_noBrRow:iTLB-load-misses                 5000    DENSE_8  avgt   10       0.436 ±     0.240       #/op
DvAddrBench.d_noBrRow:iTLB-loads                       5000    DENSE_8  avgt   10       0.701 ±     0.199       #/op
DvAddrBench.d_noBrRow:instructions                     5000    DENSE_8  avgt   10  555861.385 ± 35511.946       #/op
DvAddrBench.d_noBrRow:stalled-cycles-frontend          5000    DENSE_8  avgt   10    2390.776 ±  2525.415       #/op
DvAddrBench.d_noBrRow                                  5000   DENSE_50  avgt   80      22.018 ±     0.157      us/op
DvAddrBench.d_noBrRow:CPI                              5000   DENSE_50  avgt   10       0.181 ±     0.004  clks/insn
DvAddrBench.d_noBrRow:IPC                              5000   DENSE_50  avgt   10       5.533 ±     0.130  insns/clk
DvAddrBench.d_noBrRow:L1-dcache-load-misses            5000   DENSE_50  avgt   10      74.902 ±    18.314       #/op
DvAddrBench.d_noBrRow:L1-dcache-loads                  5000   DENSE_50  avgt   10  135572.067 ±  8616.746       #/op
DvAddrBench.d_noBrRow:L1-icache-load-misses            5000   DENSE_50  avgt   10       0.415 ±     0.109       #/op
DvAddrBench.d_noBrRow:L1-icache-loads                  5000   DENSE_50  avgt   10      65.819 ±    21.542       #/op
DvAddrBench.d_noBrRow:branch-misses                    5000   DENSE_50  avgt   10       4.299 ±     0.255       #/op
DvAddrBench.d_noBrRow:branches                         5000   DENSE_50  avgt   10  130191.465 ±  8311.417       #/op
DvAddrBench.d_noBrRow:cycles                           5000   DENSE_50  avgt   10  105211.014 ±  8195.777       #/op
DvAddrBench.d_noBrRow:dTLB-load-misses                 5000   DENSE_50  avgt   10       0.250 ±     0.064       #/op
DvAddrBench.d_noBrRow:dTLB-loads                       5000   DENSE_50  avgt   10       1.596 ±     0.372       #/op
DvAddrBench.d_noBrRow:iTLB-load-misses                 5000   DENSE_50  avgt   10       0.313 ±     0.057       #/op
DvAddrBench.d_noBrRow:iTLB-loads                       5000   DENSE_50  avgt   10       0.563 ±     0.090       #/op
DvAddrBench.d_noBrRow:instructions                     5000   DENSE_50  avgt   10  581945.422 ± 41398.853       #/op
DvAddrBench.d_noBrRow:stalled-cycles-frontend          5000   DENSE_50  avgt   10     289.570 ±    69.866       #/op

[exited with code 0]
