Benchmark                                       (batchSize)  (pattern)  Mode  Cnt       Score       Error      Units
DvAddrBench.a_brLive                                   5000    DENSE_8  avgt   80      28.013 ±     0.379      us/op
DvAddrBench.a_brLive:CPI                               5000    DENSE_8  avgt   10       0.214 ±     0.008  clks/insn
DvAddrBench.a_brLive:IPC                               5000    DENSE_8  avgt   10       4.666 ±     0.168  insns/clk
DvAddrBench.a_brLive:L1-dcache-load-misses             5000    DENSE_8  avgt   10      92.782 ±   242.473       #/op
DvAddrBench.a_brLive:L1-dcache-loads                   5000    DENSE_8  avgt   10  140985.826 ±  5435.461       #/op
DvAddrBench.a_brLive:L1-icache-load-misses             5000    DENSE_8  avgt   10       0.443 ±     0.066       #/op
DvAddrBench.a_brLive:L1-icache-loads                   5000    DENSE_8  avgt   10      88.564 ±    19.625       #/op
DvAddrBench.a_brLive:branch-misses                     5000    DENSE_8  avgt   10     412.683 ±    23.071       #/op
DvAddrBench.a_brLive:branches                          5000    DENSE_8  avgt   10  138175.981 ±  5458.262       #/op
DvAddrBench.a_brLive:cycles                            5000    DENSE_8  avgt   10  129559.965 ±  6340.094       #/op
DvAddrBench.a_brLive:dTLB-load-misses                  5000    DENSE_8  avgt   10       0.351 ±     0.106       #/op
DvAddrBench.a_brLive:dTLB-loads                        5000    DENSE_8  avgt   10       1.902 ±     0.459       #/op
DvAddrBench.a_brLive:iTLB-load-misses                  5000    DENSE_8  avgt   10       0.330 ±     0.083       #/op
DvAddrBench.a_brLive:iTLB-loads                        5000    DENSE_8  avgt   10       0.588 ±     0.076       #/op
DvAddrBench.a_brLive:instructions                      5000    DENSE_8  avgt   10  604250.952 ± 21215.761       #/op
DvAddrBench.a_brLive:stalled-cycles-frontend           5000    DENSE_8  avgt   10    1783.312 ±   233.866       #/op
DvAddrBench.a_brLive                                   5000   DENSE_50  avgt   80      29.283 ±     1.328      us/op
DvAddrBench.a_brLive:CPI                               5000   DENSE_50  avgt   10       0.223 ±     0.046  clks/insn
DvAddrBench.a_brLive:IPC                               5000   DENSE_50  avgt   10       4.549 ±     0.865  insns/clk
DvAddrBench.a_brLive:L1-dcache-load-misses             5000   DENSE_50  avgt   10      71.452 ±   247.190       #/op
DvAddrBench.a_brLive:L1-dcache-loads                   5000   DENSE_50  avgt   10  141292.695 ± 15142.566       #/op
DvAddrBench.a_brLive:L1-icache-load-misses             5000   DENSE_50  avgt   10       0.493 ±     0.147       #/op
DvAddrBench.a_brLive:L1-icache-loads                   5000   DENSE_50  avgt   10      80.452 ±    23.183       #/op
DvAddrBench.a_brLive:branch-misses                     5000   DENSE_50  avgt   10     525.154 ±   680.375       #/op
DvAddrBench.a_brLive:branches                          5000   DENSE_50  avgt   10  139114.654 ±  6841.265       #/op
DvAddrBench.a_brLive:cycles                            5000   DENSE_50  avgt   10  137784.722 ± 27984.911       #/op
DvAddrBench.a_brLive:dTLB-load-misses                  5000   DENSE_50  avgt   10       0.396 ±     0.122       #/op
DvAddrBench.a_brLive:dTLB-loads                        5000   DENSE_50  avgt   10       1.913 ±     0.570       #/op
DvAddrBench.a_brLive:iTLB-load-misses                  5000   DENSE_50  avgt   10       0.446 ±     0.125       #/op
DvAddrBench.a_brLive:iTLB-loads                        5000   DENSE_50  avgt   10       0.772 ±     0.279       #/op
DvAddrBench.a_brLive:instructions                      5000   DENSE_50  avgt   10  617702.911 ± 34655.933       #/op
DvAddrBench.a_brLive:stalled-cycles-frontend           5000   DENSE_50  avgt   10    1902.014 ±  2064.290       #/op
DvAddrBench.b_brRow                                    5000    DENSE_8  avgt   80      25.211 ±     0.134      us/op
DvAddrBench.b_brRow:CPI                                5000    DENSE_8  avgt   10       0.213 ±     0.003  clks/insn
