source,blob,key,container,cardinality,runs,bytes,chunk,hi_key
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,0,bitmap,4119,,8192,0,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,1,array,4095,,8190,1,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,2,array,4028,,8056,2,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,3,bitmap,4116,,8192,3,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,4,array,4029,,8058,4,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,5,array,4046,,8092,5,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,6,bitmap,4157,,8192,6,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,7,bitmap,4162,,8192,7,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,8,array,4069,,8138,8,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,9,array,4063,,8126,9,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,10,bitmap,4110,,8192,10,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,11,bitmap,4157,,8192,11,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,12,array,3923,,7846,12,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,13,array,4079,,8158,13,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,14,bitmap,4125,,8192,14,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,15,array,4046,,8092,15,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,16,bitmap,4118,,8192,16,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,17,array,4088,,8176,17,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,18,bitmap,4103,,8192,18,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,19,array,4057,,8114,19,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,20,bitmap,4144,,8192,20,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,21,bitmap,4131,,8192,21,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,22,bitmap,4163,,8192,22,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,23,bitmap,4126,,8192,23,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,24,array,4077,,8154,24,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,25,bitmap,4186,,8192,25,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,26,array,4026,,8052,26,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,27,bitmap,4139,,8192,27,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,28,array,4045,,8090,28,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,29,array,4079,,8158,29,0
00011-13-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,30,array,2084,,4168,30,0
00046-14-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,0,array,4038,,8076,0,0
00046-14-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,1,bitmap,4139,,8192,1,0
00046-14-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,2,bitmap,4156,,8192,2,0
00046-14-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,3,bitmap,4097,,8192,3,0
00046-14-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,4,bitmap,4243,,8192,4,0
00046-14-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,5,array,4060,,8120,5,0
00046-14-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,6,bitmap,4181,,8192,6,0
00046-14-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,7,array,4035,,8070,7,0
00046-14-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,8,array,4094,,8188,8,0
00046-14-687519b7-2028-471b-85cd-8d922b8dc6c7-00001-deletes.puffin,0,9,array,4002,,8004,9,0
