source,blob,key,container,cardinality,runs,bytes,chunk,hi_key
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,0,array,3951,,7902,0,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,1,array,4041,,8082,1,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,2,array,4066,,8132,2,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,3,array,3994,,7988,3,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,4,bitmap,4155,,8192,4,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,5,array,3969,,7938,5,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,6,array,4087,,8174,6,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,7,array,3936,,7872,7,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,8,array,3981,,7962,8,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,9,array,3894,,7788,9,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,10,array,4022,,8044,10,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,11,array,3980,,7960,11,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,12,array,3910,,7820,12,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,13,array,3998,,7996,13,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,14,array,3930,,7860,14,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,15,array,3978,,7956,15,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,16,array,4058,,8116,16,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,17,array,3865,,7730,17,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,18,array,4050,,8100,18,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,19,array,4075,,8150,19,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,20,array,4023,,8046,20,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,21,array,3958,,7916,21,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,22,array,3930,,7860,22,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,23,array,4015,,8030,23,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,24,array,3915,,7830,24,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,25,array,3983,,7966,25,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,26,array,4026,,8052,26,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,27,array,3996,,7992,27,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,28,array,4007,,8014,28,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,29,array,4015,,8030,29,0
00080-13-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,30,array,2054,,4108,30,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,0,array,4043,,8086,0,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,1,bitmap,4102,,8192,1,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,2,array,3886,,7772,2,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,3,array,3999,,7998,3,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,4,array,4087,,8174,4,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,5,array,3992,,7984,5,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,6,array,4007,,8014,6,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,7,array,4017,,8034,7,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,8,array,3879,,7758,8,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,9,array,3863,,7726,9,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,10,array,4032,,8064,10,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,11,array,4022,,8044,11,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,12,array,4007,,8014,12,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,13,array,3964,,7928,13,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,14,array,4026,,8052,14,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,15,array,4091,,8182,15,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,16,array,3945,,7890,16,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,17,array,3974,,7948,17,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,18,array,3995,,7990,18,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,19,bitmap,4148,,8192,19,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,20,array,4010,,8020,20,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,21,array,3904,,7808,21,0
00092-14-a0c6d687-efd4-4505-89a2-9b3e7b71d089-00001-deletes.puffin,0,22,array,4095,,8190,22,0
