source,blob,key,container,cardinality,runs,bytes,chunk,hi_key
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,0,bitmap,4263,,8192,0,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,1,bitmap,4319,,8192,1,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,2,bitmap,4350,,8192,2,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,3,bitmap,4191,,8192,3,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,4,bitmap,4161,,8192,4,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,5,bitmap,4129,,8192,5,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,6,bitmap,4174,,8192,6,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,7,bitmap,4177,,8192,7,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,8,bitmap,4267,,8192,8,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,9,bitmap,4174,,8192,9,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,10,bitmap,4145,,8192,10,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,11,bitmap,4165,,8192,11,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,12,bitmap,4255,,8192,12,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,13,bitmap,4208,,8192,13,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,14,bitmap,4170,,8192,14,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,15,bitmap,4183,,8192,15,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,16,bitmap,4117,,8192,16,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,17,bitmap,4172,,8192,17,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,18,bitmap,4143,,8192,18,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,19,bitmap,4250,,8192,19,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,20,bitmap,4209,,8192,20,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,21,bitmap,4180,,8192,21,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,22,bitmap,4168,,8192,22,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,23,bitmap,4205,,8192,23,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,24,bitmap,4244,,8192,24,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,25,bitmap,4214,,8192,25,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,26,bitmap,4218,,8192,26,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,27,bitmap,4269,,8192,27,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,28,bitmap,4248,,8192,28,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,29,bitmap,4165,,8192,29,0
00104-13-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,30,array,2245,,4490,30,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,0,bitmap,4133,,8192,0,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,1,bitmap,4228,,8192,1,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,2,bitmap,4269,,8192,2,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,3,bitmap,4230,,8192,3,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,4,bitmap,4333,,8192,4,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,5,bitmap,4161,,8192,5,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,6,bitmap,4266,,8192,6,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,7,bitmap,4128,,8192,7,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,8,bitmap,4211,,8192,8,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,9,bitmap,4112,,8192,9,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,10,bitmap,4219,,8192,10,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,11,bitmap,4161,,8192,11,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,12,array,4095,,8190,12,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,13,bitmap,4209,,8192,13,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,14,bitmap,4126,,8192,14,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,15,bitmap,4221,,8192,15,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,16,bitmap,4231,,8192,16,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,17,array,4055,,8110,17,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,18,bitmap,4248,,8192,18,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,19,bitmap,4288,,8192,19,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,20,bitmap,4239,,8192,20,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,21,bitmap,4150,,8192,21,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,22,bitmap,4155,,8192,22,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,23,bitmap,4195,,8192,23,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,24,bitmap,4129,,8192,24,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,25,bitmap,4163,,8192,25,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,26,bitmap,4233,,8192,26,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,27,bitmap,4190,,8192,27,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,28,bitmap,4197,,8192,28,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,29,bitmap,4209,,8192,29,0
00119-14-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,30,array,2149,,4298,30,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,0,bitmap,4245,,8192,0,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,1,bitmap,4322,,8192,1,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,2,bitmap,4099,,8192,2,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,3,bitmap,4199,,8192,3,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,4,bitmap,4283,,8192,4,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,5,bitmap,4190,,8192,5,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,6,bitmap,4210,,8192,6,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,7,bitmap,4216,,8192,7,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,8,array,4080,,8160,8,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,9,array,4069,,8138,9,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,10,bitmap,4210,,8192,10,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,11,bitmap,4228,,8192,11,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,12,bitmap,4187,,8192,12,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,13,bitmap,4164,,8192,13,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,14,bitmap,4215,,8192,14,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,15,bitmap,4302,,8192,15,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,16,bitmap,4157,,8192,16,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,17,bitmap,4185,,8192,17,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,18,bitmap,4198,,8192,18,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,19,bitmap,4344,,8192,19,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,20,bitmap,4210,,8192,20,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,21,array,4083,,8166,21,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,22,bitmap,4322,,8192,22,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,23,bitmap,4289,,8192,23,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,24,bitmap,4208,,8192,24,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,25,array,4092,,8184,25,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,26,bitmap,4118,,8192,26,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,27,bitmap,4226,,8192,27,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,28,bitmap,4166,,8192,28,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,29,bitmap,4237,,8192,29,0
00127-15-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,30,array,2093,,4186,30,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,0,bitmap,4214,,8192,0,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,1,bitmap,4188,,8192,1,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,2,bitmap,4136,,8192,2,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,3,bitmap,4237,,8192,3,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,4,bitmap,4129,,8192,4,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,5,bitmap,4158,,8192,5,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,6,bitmap,4247,,8192,6,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,7,bitmap,4273,,8192,7,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,8,bitmap,4170,,8192,8,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,9,bitmap,4157,,8192,9,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,10,bitmap,4196,,8192,10,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,11,bitmap,4241,,8192,11,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,12,array,4033,,8066,12,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,13,bitmap,4184,,8192,13,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,14,bitmap,4229,,8192,14,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,15,bitmap,4150,,8192,15,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,16,bitmap,4204,,8192,16,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,17,bitmap,4204,,8192,17,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,18,bitmap,4203,,8192,18,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,19,bitmap,4141,,8192,19,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,20,bitmap,4251,,8192,20,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,21,bitmap,4242,,8192,21,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,22,bitmap,4243,,8192,22,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,23,bitmap,4226,,8192,23,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,24,bitmap,4168,,8192,24,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,25,bitmap,4280,,8192,25,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,26,bitmap,4117,,8192,26,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,27,bitmap,4236,,8192,27,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,28,bitmap,4144,,8192,28,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,29,bitmap,4170,,8192,29,0
00191-16-7a6d20dd-540f-430e-a53a-146b1f25114b-00001-deletes.puffin,0,30,array,2128,,4256,30,0
