source,blob,key,container,cardinality,runs,bytes,chunk,hi_key
00083-13-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,2,array,316,,632,2,0
00083-13-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,3,array,325,,650,3,0
00083-13-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,6,array,332,,664,6,0
00083-13-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,7,array,324,,648,7,0
00083-13-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,10,array,330,,660,10,0
00083-13-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,13,array,334,,668,13,0
00083-13-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,20,array,299,,598,20,0
00083-13-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,27,array,323,,646,27,0
00083-13-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,28,array,356,,712,28,0
00099-14-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,2,array,343,,686,2,0
00099-14-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,3,array,329,,658,3,0
00099-14-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,6,array,298,,596,6,0
00099-14-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,7,array,320,,640,7,0
00099-14-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,10,array,334,,668,10,0
00099-14-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,13,array,345,,690,13,0
00099-14-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,20,array,330,,660,20,0
00099-14-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,27,array,331,,662,27,0
00099-14-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,28,array,320,,640,28,0
00158-15-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,2,array,302,,604,2,0
00158-15-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,3,array,335,,670,3,0
00158-15-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,6,array,335,,670,6,0
00158-15-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,7,array,359,,718,7,0
00158-15-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,10,array,330,,660,10,0
00158-15-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,13,array,345,,690,13,0
00158-15-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,20,array,353,,706,20,0
00158-15-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,27,array,347,,694,27,0
00158-15-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,28,array,319,,638,28,0
00171-16-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,2,array,333,,666,2,0
00171-16-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,3,array,300,,600,3,0
00171-16-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,6,array,312,,624,6,0
00171-16-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,7,array,334,,668,7,0
00171-16-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,10,array,299,,598,10,0
00171-16-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,13,array,327,,654,13,0
00171-16-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,20,array,325,,650,20,0
00171-16-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,27,array,326,,652,27,0
00171-16-0d8c2194-9124-4cf2-a700-2488852e95a4-00001-deletes.puffin,0,28,array,364,,728,28,0
