source,blob,key,container,cardinality,runs,bytes,chunk,hi_key
00037-13-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,0,array,338,,676,0,0
00037-13-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,2,array,302,,604,2,0
00037-13-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,3,array,335,,670,3,0
00037-13-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,5,array,336,,672,5,0
00037-13-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,6,array,335,,670,6,0
00037-13-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,7,array,359,,718,7,0
00037-13-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,10,array,330,,660,10,0
00037-13-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,13,array,345,,690,13,0
00037-13-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,19,array,294,,588,19,0
00037-13-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,20,array,353,,706,20,0
00037-13-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,24,array,366,,732,24,0
00037-13-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,27,array,347,,694,27,0
00037-13-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,28,array,319,,638,28,0
00081-14-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,0,array,310,,620,0,0
00081-14-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,2,array,333,,666,2,0
00081-14-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,3,array,300,,600,3,0
00081-14-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,5,array,340,,680,5,0
00081-14-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,6,array,312,,624,6,0
00081-14-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,7,array,334,,668,7,0
00081-14-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,10,array,299,,598,10,0
00081-14-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,13,array,327,,654,13,0
00081-14-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,19,array,350,,700,19,0
00081-14-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,20,array,325,,650,20,0
00081-14-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,24,array,337,,674,24,0
00081-14-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,27,array,326,,652,27,0
00081-14-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,28,array,364,,728,28,0
00098-15-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,0,array,358,,716,0,0
00098-15-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,2,array,343,,686,2,0
00098-15-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,3,array,329,,658,3,0
00098-15-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,5,array,333,,666,5,0
00098-15-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,6,array,298,,596,6,0
00098-15-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,7,array,320,,640,7,0
00098-15-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,10,array,334,,668,10,0
00098-15-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,13,array,345,,690,13,0
00098-15-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,19,array,315,,630,19,0
00098-15-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,20,array,330,,660,20,0
00098-15-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,24,array,329,,658,24,0
00098-15-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,27,array,331,,662,27,0
00098-15-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,28,array,320,,640,28,0
00146-16-8b61d389-9c28-4c5d-867c-70068e6594c9-00001-deletes.puffin,0,0,array,311,,622,0,0
